question,answer
What is Pink Disease?,"Pink Disease is a fungal disease that appears as a fine silvery-white film on branches and leaves, causing them to wilt and die."
What is the typical time when Pink Disease appears?,Pink Disease usually appears during or just after monsoon rains.
What is the characteristic feature of Pink Disease?,The disease gets its name from the pink color produced by the fungus on the branches.
How can you control Pink Disease?,"Control measures include trimming infected branches, painting cut ends with Bordeaux paste, and spraying Bordeaux mixture with crude oil emulsion."
What is Leaf Fall and Fruit-Rot?,"Leaf Fall and Fruit-Rot is a disease caused by Phytophthora palmivora, characterized by shedding of leaves and fruits, which turn water-soaked and drop off."
How can you control Leaf Fall and Fruit-Rot?,"Spraying Bordeaux mixture (1%) can effectively control the disease, with two sprays before and after monsoon season."
What is Scab?,"Scab is a fungal disease caused by Elsinoe fawcetti, characterized by lesions on leaves and fruits that appear as small dots or pustular elevations."
How can you control Scab?,"Control measures include collecting and destroying diseased leaves, twigs, and fruits, and spraying Bordeaux mixture or Blitox."
What is Powdery Mildew?,"Powdery Mildew is a fungal disease caused by Acrosporium tingitaninum, characterized by a whitish powdery mass on leaves and twigs."
How can you control Powdery Mildew?,"Control measures include spraying Wettable Sulphur, Sulphur dusting, and systemic fungicides like Bayleton, Calaxin, or Benomyl."
What is the first sign of Pink Disease?,The first sign of Pink Disease is wilting and dying of branches and leaves.
What happens to the bark when Pink Disease is severe?,"When Pink Disease is severe, the bark gets shredded, exposing the wood."
How does Leaf Fall and Fruit-Rot affect fruits?,"Leaf Fall and Fruit-Rot affects fruits in different stages of development, causing them to turn water-soaked and drop off."
What is the typical color of the lesions on leaves in Scab?,"The lesions on leaves in Scab appear as small semi-translucent dots, which later become sharply defined pustular elevations."
What is the color of the scabs on fruits in Scab?,The scabs on fruits in Scab are usually pink to red.
How does Powdery Mildew affect young fruits?,"Powdery Mildew affects young fruits by covering their surface with a whitish powdery mass, causing them to drop off prematurely."
What is the effect of Powdery Mildew on yield?,Powdery Mildew can reduce yield by causing premature drop of fruits.
What is the recommended dosage of Sulphur dust for Powdery Mildew control?,The recommended dosage of Sulphur dust for Powdery Mildew control is 20kg/hectare.
What is the recommended dosage of Bayleton for Powdery Mildew control?,The recommended dosage of Bayleton for Powdery Mildew control is 1g/litre of water.
What is the recommended dosage of Calaxin for Powdery Mildew control?,The recommended dosage of Calaxin for Powdery Mildew control is 3-4 ml/10 litres of water.
What is the recommended dosage of Benomyl for Powdery Mildew control?,The recommended dosage of Benomyl for Powdery Mildew control is 5g/10 litres of water.
What is the common name of the fungus that causes Anthracnose disease?,Anthracnose or Wither Tip.
What are the symptoms of Anthracnose disease on leaves?,Necrotic patches with distortions.
What is the appearance of dead twigs affected by Anthracnose?,Silvery grey.
What is the effect of Anthracnose on flower buds?,They fail to set into fruits.
What is the best way to control Anthracnose?,"Spraying Bordeaux mixture, Blitox, or Mancozeb."
What is the common name of the fungus that causes Twig Blight?,Diplodia natalensis and Fusarium spp.
What are the symptoms of Fusarium twig blight?,"Leaves dry up and shed, and small twigs die back from tips."
What is the characteristic of Diplodia twig blight?,Affected twigs show pycnidial fructifications of fungus.
What is the cause of Twig Blight?,Malnutrition and unfavourable environmental conditions.
How to control Twig Blight?,Pruning of dead twigs and spraying with Benomyl.
What is Sooty Mould?,"A disease caused by fungus, characterized by a black velvety coating on leaves, twigs, and fruits."
What is the characteristic of Sooty Mould on leaves?,The coating is superficial and can be pulled off easily.
How to control Sooty Mould?,"Pruning affected branches, destroying them, and controlling insects."
What is Storage Rots?,A disease that occurs during storage of fruits.
What are the types of Storage Rots?,"Green Mold, Blue Mold, and Altenaria Rot."
What is the cause of Green Mold?,Fungus penetrates the fruit rind through wounds.
What is the symptom of Green Mold?,Water-soaked area at the fruit surface followed by growth of colorless mycelium and sporulation.
What is the cause of Blue Mold?,Fungus penetrates through the uninjured peel.
What is the symptom of Blue Mold?,"Similar to Green Mold, except with blue spores."
What is Altenaria Rot?,A type of Storage Rot caused by fungus that enters the fruit through their buttons.
How to prevent Altenaria Rot?,"Preharvest treatment with gibberellic acid or postharvest treatment with 2,4 D."
What can help prevent storage rots in fruits?,"Careful handling during harvesting to minimize cuts, scratches, and bruises."
What is the most serious bacterial disease of sour lime during the rainy season?,Citrus Canker (Xanthomonas citri).
"What are the symptoms of Citrus Canker on leaves, branches, and fruit stalks?","Yellowish spots that gradually enlarge and appear as raised, rough brownish pustules with a yellow halo."
What is the best way to prevent the spread of Citrus Canker?,"Pruning and burning infected twigs, and disinfecting cuts with Bordeaux paint."
What are the recommended treatments for Citrus Canker?,"Three sprays of Streptocycline, Blitox, or neem cake suspension during February, October, and December."
What is the primary vector for Tristeza Virus Disease?,The aphid (Toxoptera citricida).
What are the initial symptoms of Tristeza Virus Disease?,"Dieback of small branches and twigs, yellowing of leaves, and heavy bearing of small fruits."
What are the advanced symptoms of Tristeza Virus Disease?,"Severe chlorosis, mottling, and wilting of plants."
How can farmers reduce the decline disease caused by Tristeza Virus?,"Good cultural practices, increasing soil fertility, and good drainage."
What is the best method to control Tristeza Virus Disease?,Controlling aphid populations using insecticides in nurseries and plantations.
What is Greening disease spread through?,Grafting and citrus psylla (Diaphorina citri).
What are the symptoms of Greening disease?,"Stunted trees with leaf and fruit drop, twig dieback, and green fruits."
Why are fruits with Greening disease valueless?,"Small size, distortion, low juice, and insipid taste."
How can farmers prevent storage rots in citrus fruits?,"By maintaining optimum temperature and relative humidity, and excluding ethylene during transport."
What is the recommended treatment for storage rots in citrus fruits?,Treatment with Bavistin (1000 ppm).
How can farmers control the spread of Citrus Canker?,By pruning and burning infected twigs and disinfecting cuts with Bordeaux paint.
What is the recommended treatment for Greening disease?,(No specific treatment mentioned in the text).
What is the cause of Greening disease?,Grafting and citrus psylla (Diaphorina citri).
What are the symptoms of Greening disease on fruits?,Green fruits with a conspicuous yellow patch on the rind surface.
Why are farmers advised to control aphid populations?,To prevent the spread of Tristeza Virus Disease.
How can farmers maintain good drainage to reduce decline disease?,By implementing good cultural practices and increasing soil fertility.
What is the best way to control Citrus Canker on fruit stalks?,"Pruning and burning infected twigs, and disinfecting cuts with Bordeaux paint."
How can citrus greening disease be transmitted?,Through grafting with budwood from a parent tree that is not free from greening.
What should be done to control the spread of citrus greening disease in the field?,Controlling the vector population can effectively check the disease.
What insecticides can be used to control nymphs and adults of the vector population?,Phosphamidon (0.025%) or Parathion (0.025%) can be sprayed to control nymphs and adults.
How can soil application control citrus psyllids?,Soil application of Dimethoate 10% granules around the plant basin gives effective control of citrus psyllids.
What is the characteristic symptom of citrus exocortis disease?,Drying narrow strips of outer bark that tend to separate from the inner live-bark.
How does the affected tree show symptoms of citrus exocortis?,The affected trees show lack of vigour resulting in dwarfing.
What is the best way to prevent citrus exocortis disease?,The disease can be prevented by using virus-free budwood.
What should be done with grafting tools after pruning branches from diseased trees?,Grafting tools should be disinfected after pruning branches from diseased trees.
What is the purpose of disinfesting grafting tools?,To prevent the spread of diseases like citrus exocortis and greening.
What is the effect of citrus greening disease on the tree?,The disease causes the tree to become dwarfed.
What is the best way to control citrus greening disease?,Using virus-free budwood and controlling the vector population.
How does citrus exocortis affect the outer bark of the tree?,The outer bark slowly peels off as it withers.
What is the best way to control citrus psyllids in the field?,Spraying Phosphamidon (0.025%) or Parathion (0.025%) or soil application of Dimethoate 10% granules.
What is the role of citrus psyllids in the spread of citrus greening disease?,Citrus psyllids act as vectors in the spread of citrus greening disease.
What is the effect of citrus exocortis on the inner bark of the tree?,The inner live-bark remains unaffected.
How does citrus exocortis affect the overall growth of the tree?,The disease causes the tree to become dwarfed.
What is the best way to prevent the spread of citrus exocortis?,Using virus-free budwood and disinfesting grafting tools.
What is the characteristic symptom of citrus exocortis in terms of the bark?,The outer bark slowly peels off as it withers.
How does citrus greening disease affect the tree's vigour?,The disease causes the tree to show lack of vigour.
What is the best way to control citrus greening disease in the field?,Controlling the vector population and using insecticides like Phosphamidon (0.025%) or Parathion (0.025%).
What is citronella disease caused by?,Citrus tristeza virus.
What is another name for citrus ringspot disease?,Citrus psorosis virus.
What is concave gum disease caused by?,A virus.
What is impietratura disease characterized by?,"Hard, black spots on the fruit."
What is Cristacortis disease?,A viral disease that causes mottling and distortion of the leaves.
What is citrus vein enation?,A viral disease that causes abnormal growths on the veins of the leaves.
What is citrus blight disease?,A fungal disease that causes browning of the leaves.
What is citrus viroid?,A small RNA molecule that causes diseases in citrus plants.
What is citrus tatterleaf virus?,A viral disease that causes leaf deformation and mottling.
What is citrus leaf blotch?,"A fungal disease that causes small, circular lesions on the leaves."
What is measles disease in citrus plants?,A viral disease that causes mottling and distortion of the leaves.
What is yellow vein disease in citrus plants?,A viral disease that causes yellowing of the leaves.
What is citrus leprosis?,A viral disease that causes lesions on the fruit.
What is citrus yellow mosaic?,A viral disease that causes yellowing and mottling of the leaves.
What is Satsuma dwarf disease?,A viral disease that causes dwarfing of the trees.
What is Huanglongbing?,A bacterial disease that causes yellowing of the leaves.
What is stubborn disease in citrus plants?,A bacterial disease that causes stunted growth and yellowing of the leaves.
What is citrus variegated chlorosis?,A bacterial disease that causes yellowing and mottling of the leaves.
How can citrus farmers prevent the spread of graft-transmissible pathogens?,"Through quarantine programs, clean stock programs, and certification programs."
What is mild strain cross-protection in citrus plants?,A method of inducing resistance to a viral disease by infecting the plant with a mild strain of the virus.
What is CP-mediated resistance in citrus plants?,A method of inducing resistance to a viral disease by introducing a gene that produces a protein that interferes with the virus.
What is RNA-mediated resistance in citrus plants?,A method of inducing resistance to a viral disease by introducing a piece of RNA that interferes with the virus.
Where did citrus originally come from?,Citrus is thought to have originated in Southeast Asia.
How have farmers traditionally propagated citrus trees?,Citrus has been clonally cultivated for hundreds of years to ensure that propagated plants have the same traits as the parent selection.
Why do farmers prefer clonal propagation over seed propagation?,Clonal propagation avoids juvenility and ensures that propagated plants will grow and produce fruit genetically like the original tree.
What is a characteristic of seedling citrus plants?,"Seedling citrus plants express juvenility traits such as excessive thorniness, upright growth, and lack of flower/fruit production for several years."
Why is rootstock important in citrus cultivation?,"Rootstocks can influence the quality of fruit, tree size, and impart a level of tolerance to root rots, high water tables, and poor soil type."
Can citrus viruses be spread by insect vectors?,"Yes, citrus viruses can be spread by insect vectors, and strategies such as pest management areas can be used to control their spread."
What is nucellar embryony?,Nucellar embryony is a characteristic of some citrus species where seedlings are genetically the same as the parent tree.
"Why do farmers use quarantine, clean stock, and certification programs for control of citrus viruses?",These methods help to ensure that citrus trees are free from viruses and can prevent the spread of viruses.
What is mild strain cross-protection?,"Mild strain cross-protection is a strategy used to control citrus viruses by introducing a mild strain of the virus to the tree, which provides immunity to the more severe strain."
How long have citrus trees been cultivated?,Citrus has been cultivated for hundreds of years.
Where did citrus trees originate in addition to Southeast Asia?,Citrus trees also originated in New Caledonia and Australia.
What is the purpose of certification programs for citrus trees?,Certification programs ensure that citrus trees are free from viruses and other diseases.
Can citrus trees be grown from seed?,"Yes, but seedling citrus plants express juvenility traits and may not grow and produce fruit like the parent tree."
What is the advantage of clonal propagation over seed propagation?,Clonal propagation ensures that propagated plants will grow and produce fruit genetically like the original tree.
How do farmers ensure that citrus trees are free from viruses?,"Farmers use methods such as quarantine, clean stock, and certification programs to ensure that citrus trees are free from viruses."
What is the significance of rootstock in citrus cultivation?,"Rootstock can influence the quality of fruit, tree size, and impart a level of tolerance to root rots, high water tables, and poor soil type."
How can citrus viruses be spread?,"Citrus viruses can be spread by insect vectors, contaminated soil, and human activity."
What is the purpose of pest management areas for citrus trees?,Pest management areas are used to control insect vectors that can spread citrus viruses.
Why is it important to use clean stock in citrus propagation?,Using clean stock helps to prevent the spread of viruses and ensures that propagated plants are free from diseases.
What is the difference between clonal propagation and seed propagation?,"Clonal propagation ensures that propagated plants will grow and produce fruit genetically like the original tree, while seed propagation may result in plants with different traits."
Can citrus viruses be controlled through quarantine and certification programs?,"Yes, quarantine and certification programs can help to control the spread of citrus viruses."
What is the significance of Australia in the origin of citrus trees?,"Australia is one of the places where citrus trees originated, along with Southeast Asia and New Caledonia."
What are some common viruses that affect citrus trees?,Viruses and graft-transmissible diseases that can cause symptoms on citrus trees.
How long does it take for some citrus viruses to show symptoms?,Some citrus viruses may not show symptoms until the tree is 5-12 years old.
What is psorosis disease?,A virus disease that may not produce symptoms until the tree is 5-12 years old.
What is the most economically important virus disease of citrus in the world?,Citrus tristeza virus (CTV).
How many trees have been killed by CTV?,More than 50 million trees on sour orange rootstock.
What is the size of the CTV virus?,About 2000 by 12 nm.
How is CTV transmitted?,"In a semi-persistent manner by a number of aphid species, including Aphis gossypii and Toxoptera citricida."
What are the most common vectors of CTV?,Aphis gossypii and Toxoptera citricida.
What is the effect of CTV on sour orange rootstock?,Decline.
What is the effect of CTV on lemon and grapefruit?,Seedling yellows.
What is the effect of CTV on grapefruit and/or sweet orange?,Stem pitting.
Can the decline on sour orange symptom of CTV be overcome?,"Yes, by planting on CTV-tolerant rootstocks."
Is stem pitting activity easy to control?,"No, it is more difficult to control than the decline on sour orange symptom."
What is biological indexing?,A method used to determine the biological activity of a virus.
Why is biological indexing required for CTV?,To determine the biological activity of the virus.
What are the three biological activities of CTV?,"Decline on sour orange, seedling yellows, and stem pitting."
Can all three biological activities of CTV be controlled?,"No, stem pitting activity is more difficult to control."
What is the significance of planting on CTV-tolerant rootstocks?,It can overcome the decline on sour orange symptom of CTV.
What is the relationship between seedling yellows and decline on sour orange?,Seedling yellows strains are almost always accompanied by decline on sour orange and/or stem pitting activities.
How can citrus farmers control CTV?,By using biological indexing and control methods/strategies.
What are the control methods/strategies for CTV?,Not specified in the text.
What is the purpose of the biological indexing procedure for CTV?,To monitor for different diseases in citrus trees.
Which plants are used as indicators for CTV?,"Mexican lime, sweet orange on sour orange rootstock, Duncan grapefruit seedlings, Madame vinous sweet orange seedlings, and sour orange."
What is seedling yellows?,A disease that can be detected on Duncan grapefruit seedlings.
"How can quarantine, clean stock, and citrus certification programs help prevent the introduction of new CTV isolates?",By preventing the introduction of new isolates of CTV into a citrus area.
What is tristeza decline on sour orange?,A disease caused by CTV that can be controlled by using CTV-tolerant rootstocks.
What is mild strain cross-protection (MSCP)?,A management strategy that involves using a mild strain of CTV to protect citrus trees from severe strains.
In which countries has MSCP been shown to be effective?,"Brazil, Australia, and Japan."
How does California control tristeza in citrus trees?,By surveying citrus trees regularly and eradicating infected trees.
What is the immune gene in P. trifoliata?,An immunity gene that makes it immune to most strains of CTV.
Can P. trifoliata be used to develop horticulturally desirable citrus varieties that are immune to CTV?,"Yes, the immunity gene may be useful in developing such varieties."
What is the effect of some CTV isolates on P. trifoliata?,They can break the immunity shown by most isolates of CTV in P. trifoliata.
What is citrus psorosis?,A disease that induces bark scaling lesions on citrus trees.
How was citrus psorosis discovered to be graft transmissible?,By grafting the disease onto seedlings.
What is the use of biological indexing for citrus psorosis virus (CPsV)?,To detect CPsV in trees used for budwood.
When was the first certification program for psorosis-free budwood developed?,In 1937.
"What is the purpose of quarantine, clean stock, and citrus certification programs for CPsV?",To prevent the introduction of new isolates of CPsV into a citrus area.
How does CPsV affect citrus trees?,"It induces bark scaling lesions on the trunk and limbs of sweet orange, mandarins, and grapefruit."
What is the difference between tristeza decline on sour orange and citrus psorosis?,"Tristeza decline on sour orange is caused by CTV, while citrus psorosis is caused by CPsV."
Can CTV-tolerant rootstocks control tristeza decline on sour orange?,"Yes, they can control tristeza decline on sour orange."
What is the importance of monitoring for CTV and CPsV in citrus trees?,To prevent the spread of these diseases and maintain the health of citrus trees.
What is the significance of P. trifoliata in controlling CTV?,It is immune to most strains of CTV and can be used to develop horticulturally desirable citrus varieties that are immune to CTV.
What was the first reported occurrence of the citrus ringspot disease?,The citrus ringspot disease was first reported in the late 1960s.
What is characterized by the development of localized ringspots when extracts from bark lesions are rubbed on Chenopodium quinoa leaves?,Citrus ringspot disease is characterized by the development of localized ringspots.
What is CPsV?,CPsV is a type member of the Ophiovirus genus.
"What are the three single-stranded, negative-sense RNAs found in the virus?","The three single-stranded, negative-sense RNAs are RNA1, RNA2, and RNA3."
What is the function of the p24 protein encoded by RNA1?,The function of the p24 protein encoded by RNA1 is unknown.
What is the function of the p54 protein encoded by RNA2?,The function of the p54 protein encoded by RNA2 is unknown.
What is the function of the coat protein (CP) encoded by RNA3?,The function of the coat protein (CP) encoded by RNA3 is unknown.
How do CPsV isolates spread naturally?,The means of natural spread of CPsV has not been identified.
How do farmers control CPsV?,"CPsV is controlled by use of quarantine, clean stock, and certification programs."
When do trees typically display bark scaling symptoms of CPsV?,Trees typically display bark scaling symptoms of CPsV at 3-7 years of age or older.
Which citrus species are susceptible to CPsV?,"Sweet orange, mandarin, grapefruit, sour orange, and lemon are susceptible to CPsV."
What is concave gum disease (CGD)?,"CGD is a disease of unknown etiology, although it is graft transmitted."
When was concave gum disease first reported?,CGD was first reported in 1936.
Where is concave gum disease widespread?,CGD is widespread in old-line budwood.
What is characterized by concave gum disease?,CGD is characterized by gum pockets on the bark of infected trees.
How is concave gum disease transmitted?,CGD is graft transmitted.
What is the purpose of re-indexing foundation trees and mother trees?,The purpose of re-indexing foundation trees and mother trees is to ensure they are free of CPsV.
How often should foundation trees and mother trees be re-indexed?,Foundation trees and mother trees should be re-indexed every 3-4 years.
What is the significance of the molecular characterization of CPsV?,The molecular characterization of CPsV revealed that it is a single virus and not multiple diseases.
What is the importance of clean stock and certification programs in controlling CPsV?,Clean stock and certification programs are important in preventing the introduction of new isolates or strains and limiting the distribution of the disease within a growing region.
Why is CPsV hard to control in Argentina?,CPsV is hard to control in Argentina because of its natural spread.
What are the symptoms of the disease on the trunk and limbs of an orange tree?,Concavities with gum-filled deposits in the wood beneath the concavities.
What is a common symptom of Impietratura disease in the spring?,Vein clearing and oak leaf patterns.
What is the typical fruit characteristic of Impietratura disease?,"Small, malformed, and hard fruit with gum pockets in the albedo."
Which citrus variety is more tolerant to Impietratura disease?,Citrons.
What is the main effect of Impietratura disease on the fruit?,Fruit drop and unmarketable fruit.
What is the cause of Cristacortis disease?,Presumed to be caused by an uncharacterized citrus virus.
Where was Cristacortis disease first reported?,Corsica.
What is a characteristic symptom of Cristacortis disease?,Vertical depressions or pockets in the wood with gumming at the bottom.
What is similar between Cristacortis disease and CTV-induced stem pitting?,The pits can occur on sour orange rootstocks and mandarins.
How is Cristacortis disease typically spread?,Not reported.
What is a common symptom of Cristacortis disease on leaves?,Vein flecking and oak leaf patterns.
How is Cristacortis disease controlled?,"Quarantine, clean stock, and certification programs."
What is another name for Citrus vein enation?,Woody gall.
Where was Citrus vein enation first described?,California.
What is the characteristic symptom of Citrus vein enation?,Enations in the leaf.
Is Citrus vein enation a graft-transmissible disease?,Yes.
What is the effect of Citrus vein enation on the leaf?,Enations.
What is a common symptom of CPsV and Impietratura disease?,Oak leaf patterns.
How can CPsV and Impietratura disease be controlled?,"Quarantine, clean stock, and certification programs."
What is a common symptom of Cristacortis disease and CPsV on sweet orange indicator plants?,Similar symptoms.
What is Citrus Vein Enation Virus (CVEV)?,"A virus that causes woody galls on citrus trees, transmitted by aphids."
What are the symptoms of CVEV?,Woody galls on the trunks or rootstocks of citrus trees.
How is CVEV transmitted?,"Through aphid species such as T. citricida, Myzus persicae, and A. gossypii."
Where has CVEV been reported?,"Australia, California, India, Japan, Peru, and Spain."
What is the size of the CVEV virus particle?,About 28 nm in diameter.
What type of virus is CVEV?,A luteovirus.
How can farmers control CVEV?,By using propagation material free of CVEV and protecting budwood source trees from aphids.
What is Citrus Blight disease?,A disease of unknown etiology that is graft-transmitted and causes decline of citrus trees.
Which rootstocks are most susceptible to Citrus Blight?,"Rough lemon, Rangpur lime, P. trifoliata, and Carrizo citrange."
Which rootstocks are more tolerant of Citrus Blight?,"Cleopatra mandarin, sour orange, and sweet orange."
What are the early symptoms of Citrus Blight?,"Zinc deficiency symptoms in the leaves, zinc accumulation in the phloem, and high zinc levels in the xylem."
What is the result of blockage of xylem tissues with amorphous plugs in Citrus Blight?,Reduced water uptake.
What are some physical changes that occur in trees affected by Citrus Blight?,"Thinning of the canopy, small leaves, upright shoots, and dull green foliage."
What is the ultimate outcome of Citrus Blight infection?,"Tree decline, twig dieback, and root loss."
How does Citrus Blight spread naturally?,"From tree to tree, often within a radius of one to two trees of already symptomatic trees."
Is there a serological assay available for Citrus Blight?,"Yes, a serological assay has been developed."
How can farmers manage Citrus Blight?,By using blight-tolerant rootstocks and testing budwood source trees.
Is Citrus Blight a reversible disease?,"No, once trees develop the disease, the decline is irreversible."
What is the primary cause of Citrus Blight?,Unknown.
What are some secondary symptoms of Citrus Blight?,Off-season flowering and production of water sprouts inside the canopy.
When do the first incidents of Citrus Blight typically occur?,At random in a citrus grove.
How do farmers prevent Citrus Blight?,By using blight-tolerant rootstocks and testing budwood source trees.
What is blight?,"Blight is a disease that causes losses in citrus trees, estimated to be around 4-7% of the tree population in Florida."
What is a viroid?,"A viroid is a small, low molecular weight, circular, infectious RNA molecule that causes various symptoms in citrus and citrus relatives."
How are viroids transmitted?,"Viroids are transmitted mechanically, and care must be taken to sterilize tools used to cut or prune trees to prevent spread."
Are there any vectors for viroids?,"No, there are no reported vectors for viroids."
What is Citrus exocortis viroid (CEVd)?,"CEVd is a citrus viroid that causes bark shelling on trees grown on P. trifoliata or P. trifoliata hybrids, and can cause dwarfing of trees grafted on these rootstocks."
What are the symptoms of CEVd?,"CEVd causes leaf epinasty, stunting, and necrosis of the leaf midvein."
What is Cachexia?,"Cachexia is a disease caused by a viroid that causes dwarfing and poor growth of certain citrus trees, including tangelo, mandarin, and Citrus macrophylla."
What are the symptoms of Cachexia?,Cachexia causes depressions in the wood of the tree with corresponding pegs in the bark.
What is Citrus bark cracking viroid?,Citrus bark cracking viroid is a viroid that causes leaf drooping on Etrog citron indicator plants and general necrosis of the leaf midribs.
Are there any effective methods for controlling viroids?,"Yes, quarantine, clean stock, and certification programs are effective in controlling viroids."
Can thermotherapy eliminate the viroid pathogen?,"No, thermotherapy will not eliminate the viroid pathogen."
What is the discovery that led to the identification of additional viroid pathogens?,The discovery that Etrog citron was a good indicator plant for viroids and the development of the sequential polyacrylamide gel electrophoresis (sPAGE) for diagnosis of different viroids.
How many nucleotides does CEVd have?,CEVd has 371 nucleotides.
What genus does CEVd belong to?,CEVd belongs to the genus Pospiviroid.
What is the length of Cachexia?,Cachexia has 299 nucleotides.
What genus does Cachexia belong to?,Cachexia belongs to the genus Hostuviroid.
What genus does Citrus bark cracking viroid belong to?,Citrus bark cracking viroid belongs to the genus Cocadviroid.
How many nucleotides does Citrus bark cracking viroid have?,Citrus bark cracking viroid has 284 nucleotides.
What is the purpose of quarantining citrus trees?,Quarantining citrus trees helps prevent the spread of viroids.
What is the role of clean stock and certification programs in controlling viroids?,Clean stock and certification programs help ensure that citrus trees are free of viroids.
Are there any reported cases of viroid transmission through vectors?,"No, there are no reported cases of viroid transmission through vectors."
What is the significance of Etrog citron in viroid research?,"Etrog citron is a good indicator plant for viroids, making it useful for research and diagnosis."
What is the significance of sPAGE in viroid research?,sPAGE is a useful diagnostic tool for identifying different viroids.
What is Citrus bent leaf viroid?,It is a viroid that causes leaf bending on Etrog citron and point necrosis on the leaf midribs.
What is the size of Citrus bent leaf viroid?,It is 318 nucleotides (nt) long.
What is Citrus dwarfing viroid?,"It is a viroid that causes dwarfing on P. trifoliata, citrange, and citrumelo rootstocks."
What are the sizes of Citrus viroid IIIa and Citrus viroid IIIb?,"They are 297 and 294 nt long, respectively."
What is Citrus viroid V?,It produces mild symptoms in Etrog citron and is 294 nt long.
What are the symptoms of Citrus exocortis viroid (CEV)?,"CEV causes stunting, epinasty, midvein necrosis, petiole necrosis, and leaf tip browning."
What is the effect of Citrus viroid 1 (CV-1a and CV-1b) on citrus plants?,"It causes stunting and leaf bending, with point necrosis of the midvein."
"What are the symptoms of Citrus viroid II-a, b, and c?","They cause slight petiole necrosis and leaf tip browning, asymptomatic symptoms, and strong symptoms, respectively."
What is the effect of Citrus viroid III-a to d on citrus plants?,"It causes stunting, leaf dropping, necrosis of the midvein, and petiole necrosis."
What is the effect of Citrus viroid IV on citrus plants?,"It causes stunting, leaf dropping, necrosis of the midvein, and petiole necrosis."
What is the effect of Citrus viroid Vb on citrus plants?,"It causes mild stunting, mild bark cracking, and gum exudates."
What is the effect of Citrus viroid VIc on citrus plants?,"It causes stunting, mild leaf bending, and petiole necrosis."
Where can I find information about viroids from citrus?,You can find information about viroids from citrus on the European Bioinformatics Institute (EBI) website.
What is the purpose of the Apscaviroid genus?,The Apscaviroid genus includes species of viroids that infect citrus plants.
What is the size range of viroids in the Apscaviroid genus?,The viroids in the Apscaviroid genus range in size from 275 to 394 nt.
How many species of viroids are there in the Apscaviroid genus?,"There are several species of viroids in the Apscaviroid genus, including Citrus bent leaf viroid, Citrus dwarfing viroid, and Citrus viroid V."
What is the function of viroids in citrus plants?,Viroids are RNA molecules that can cause diseases in citrus plants.
How do viroids affect citrus plants?,"Viroids can cause a range of symptoms in citrus plants, including stunting, leaf bending, necrosis, and petiole necrosis."
Can viroids be transmitted from one citrus plant to another?,"Yes, viroids can be transmitted from one citrus plant to another through mechanical means, such as grafting or pruning."
Can viroids be treated with pesticides or fungicides?,"No, viroids are not treatable with pesticides or fungicides, as they are RNA molecules that are not affected by these types of chemicals."
